Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
0.004926108,0.005293202,0.004742097,0.005506141,0.007047216,0.011348006,0.009345794
0.001343484,0.003113648,0.003244592,0.005506141,0.003288701,0.004642366,0.004984424
0.001343484,0.002075765,0.001663894,0.001270648,0.001879258,0.004642366,0.00623053
0,0.001245459,0.00187188,0.001905972,0.001879258,0.001375516,0.004984424
0,0.001556824,0.00249584,0,0.001409443,0.005502063,0.003738318
0,0.001245459,0.00124792,0.001270648,0.00422833,0.002751032,0.002492212
0.001343484,0.001245459,0.00124792,0.000635324,0.001409443,0.001031637,0
0,0.00062273,0.00124792,0.001270648,0.002818887,0.001031637,0.003738318
0,0,0.001663894,0,0.001409443,0.004126547,0.002492212
0,0.00062273,0.00124792,0.000635324,0.001409443,0,0
0,0.001245459,0.00124792,0.001270648,0.001409443,0.002063274,0.002492212
0.002686968,0.001245459,0.00124792,0,0.000704722,0.002063274,0.002492212
0.001343484,0.001660612,0.000415973,0.00317662,0.001409443,0,0
0.001343484,0.002075765,0.001663894,0.001270648,0.000469814,0.001547455,0.003738318
0.001343484,0.002179554,0.001747088,0.002964845,0.002818887,0.004126547,0.002492212
0.001343484,0.005915931,0.0031198,0.005082592,0.001879258,0.004126547,0.004984424
0.007613077,0.005915931,0.005490849,0.005082592,0.007047216,0.008253095,0.003738318
0.007165249,0.010586404,0.009733777,0.011435832,0.017383134,0.014958735,0.009345794
0.021047918,0.022106902,0.014475874,0.022448115,0.01597369,0.023727648,0.019937695
0.020152262,0.02459782,0.026455907,0.026260059,0.032417195,0.022180193,0.013084112
0.034034931,0.028956928,0.027204659,0.027107158,0.024900164,0.023727648,0.019314642
0.036721899,0.037363778,0.034193012,0.033036849,0.034766267,0.040233838,0.018068536
0.034034931,0.038920602,0.040432612,0.037695892,0.039934226,0.029917469,0.034890966
0.038513211,0.038609237,0.043427621,0.039813638,0.046041813,0.043844567,0.031152648
0.045230631,0.043591074,0.041680532,0.039390089,0.034296453,0.046423659,0.032398754
0.053739364,0.04141152,0.040183028,0.036001694,0.037115339,0.040749656,0.038629283
0.041200179,0.045147898,0.037687188,0.036001694,0.043692741,0.043844567,0.036137072
0.039408867,0.049507006,0.03968386,0.036425244,0.039934226,0.037138927,0.041121495
0.038065383,0.043279709,0.038186356,0.040237188,0.048390886,0.040749656,0.036137072
0.030900134,0.038920602,0.040183028,0.03854299,0.041813484,0.050034388,0.036760125
0.040752351,0.03425013,0.038186356,0.032613299,0.041343669,0.042297111,0.034267913
0.043887147,0.03300467,0.037437604,0.040660737,0.031007752,0.031980743,0.025545171
0.034034931,0.035495589,0.040183028,0.044049132,0.039464412,0.038170564,0.036137072
0.047021944,0.040477426,0.046672213,0.04489623,0.038994597,0.029401651,0.046105919
0.045230631,0.047327452,0.044176373,0.041931385,0.035236082,0.035591472,0.029906542
0.041648007,0.035184224,0.036688852,0.043625582,0.041813484,0.03301238,0.034267913
0.043439319,0.035806954,0.030449251,0.031342651,0.037115339,0.032496561,0.040498442
0.034482759,0.037986508,0.034193012,0.035154596,0.038994597,0.027854195,0.036137072
0.038513211,0.0336274,0.028951747,0.041931385,0.034296453,0.035075653,0.046728972
0.033587103,0.026777374,0.03344426,0.032613299,0.026779422,0.038170564,0.037383178
0.022391402,0.026154645,0.031198003,0.024142313,0.031007752,0.024759285,0.042367601
0.018808777,0.023663726,0.02296173,0.023718763,0.022081278,0.026822558,0.038629283
0.023734886,0.021484172,0.022462562,0.022024566,0.023490721,0.023211829,0.030529595
0.02060009,0.0168137,0.023460899,0.020753918,0.018792577,0.013411279,0.026791277
0.019704433,0.01743643,0.021214642,0.018636171,0.016443505,0.014958735,0.031152648
0.014330497,0.0168137,0.018219634,0.013977128,0.008926474,0.015990371,0.013084112
0.009404389,0.010586404,0.013227953,0.014824227,0.008926474,0.011348006,0.014330218
0.003582624,0.006850026,0.007737105,0.011859382,0.006107588,0.009284732,0.011214953
